iteration number, training time MIMIC, training time RHC, training time SA, training time GA
0,0.365190792,1.37E-04,2.16E-04,0.020373272
100,7.390513561,0.01452842,0.014098005,0.304910129
200,9.623191421,0.016246379,0.014301709,0.374396025
300,11.89545452,0.017106157,0.014595165,0.47103468
400,14.19723755,0.020067832,0.015114358,0.56779043
500,16.25667063,0.021103791,0.015539399,0.6981018
600,18.1286834,0.023287726,0.015698372,0.731315126
700,20.01535042,0.02387484,0.018802205,0.763941019
800,21.77145366,0.024431005,0.019136689,0.90119033
900,23.60412966,0.025924741,0.019429859,1.176942019
1000,25.50438045,0.026622931,0.019829557,1.420251123
1100,27.41218712,0.027280796,0.020129261,1.677828297
1200,29.5384117,0.02792159,0.020385547,1.846699859
1300,31.609293,0.02856493,0.02066871,1.910754214
1400,33.55403984,0.029255862,0.020931285,1.98278745
1500,35.65406699,0.030466979,0.021153362,2.031819819
1600,37.71306463,0.030918463,0.021618084,2.092390817
1700,39.94390778,0.031303939,0.021748503,2.172968057
1800,42.15814663,0.03164783,0.021933404,2.241970362
1900,44.27098258,0.031990801,0.022031964,2.36029406
2000,46.33229059,0.032290452,0.022234392,2.426003651
2100,48.34681366,0.03261731,0.02244555,2.485665789
2200,50.37130031,0.032947599,0.022672598,2.526721805
2300,53.08268723,0.033730674,0.022893122,2.572708029
2400,55.08782511,0.034123169,0.023042758,2.671908888
2500,57.01219244,0.034451276,0.023130749,2.706417145
2600,58.95882625,0.035188994,0.023225109,2.768440141
2700,60.80988136,0.035599037,0.023439121,2.991073808
2800,62.52064075,0.036978281,0.02378382,3.148561443
2900,64.42992058,0.038318194,0.02408839,3.360221255
3000,66.23787081,0.03868847,0.024352829,3.50659437
3100,67.96025665,0.039037876,0.027018415,3.671885605
3200,69.54774069,0.039424527,0.027396674,3.831186249
3300,71.22624323,0.039773613,0.029582364,3.986679013
3400,73.03677237,0.040143691,0.029731797,4.106899138
3500,74.78825926,0.040841435,0.029818871,4.15174833
3600,76.53370552,0.041249599,0.029940354,4.209669779
3700,78.21932112,0.041591152,0.030017747,4.25305253
3800,80.07246161,0.041886532,0.030241085,4.318421831
3900,81.81189747,0.042163683,0.030464258,4.371370602
4000,83.62543353,0.042474293,0.03054476,4.491888614
4100,85.71709062,0.042776101,0.030620694,4.52533952
4200,87.62095375,0.043053255,0.030699295,4.568833006
4300,89.85829528,0.047537383,0.032234857,4.623270721
4400,91.92345875,0.04785341,0.032521135,4.668738306
4500,93.86701414,0.0481584,0.033795019,4.736761151
4600,96.16250438,0.048451886,0.034234964,4.870775619
4700,98.50766898,0.04875878,0.034706548,5.019759422
4800,100.9893131,0.049024497,0.035110727,5.668602583
4900,103.7946273,0.049356519,0.036005339,5.836024279
5000,106.2298846,0.049648151,0.036303577,6.659337256
5100,108.3435019,0.049926041,0.036567244,6.893457302
5200,110.283339,0.050192472,0.036799062,7.006474549
5300,112.1820329,0.050460394,0.037059988,7.578114572
5400,113.9643385,0.050797092,0.037335774,7.741616362
5500,115.6944444,0.051136006,0.037693629,7.829404609
5600,117.4908139,0.051872732,0.037926115,8.035357944
5700,119.3102754,0.052282409,0.038048009,8.203263125
5800,121.0301838,0.052597112,0.038141114,8.376668844
5900,122.6745317,0.052876752,0.038221483,8.467209504
6000,124.4392683,0.053181134,0.038303323,8.562443452
6100,126.2100001,0.053521411,0.038387295,8.61164642
6200,127.8692729,0.053789764,0.038466583,8.738841852
6300,129.3775742,0.054077503,0.038650479,8.793204725
6400,130.9211207,0.054445312,0.038745497,8.878236335
6500,132.6122016,0.05470778,0.03883898,8.900391185
6600,134.2534624,0.055018183,0.038928735,9.156805295
6700,136.098725,0.055319494,0.03902557,9.386237381
6800,137.7298262,0.05558607,0.039109534,9.54564552
6900,139.4202555,0.055872461,0.039197713,9.706198333
7000,141.2677866,0.056997412,0.039279354,9.819054668
7100,143.4504414,0.057482206,0.039366133,9.841855903
7200,145.636894,0.057782246,0.039450212,9.876541572
7300,147.8533023,0.058079075,0.039547562,9.914319731
7400,150.0537198,0.059925819,0.039636357,9.96736289
7500,152.6492244,0.060243216,0.03972787,10.00541239
7600,154.8330812,0.060550196,0.03988153,10.04557209
7700,156.7899886,0.060822604,0.039973478,10.07775782
7800,159.2270381,0.061078899,0.040059801,10.10308741
7900,164.2741998,0.061349301,0.040145254,10.14796783
