opt.RandomizedHillClimbing@610455d6 iteration number, training time, fitness,opt.SimulatedAnnealing@511d50c0 iteration number, training time, fitness,opt.ga.StandardGeneticAlgorithm@60e53b93 iteration number, training time, fitness,opt.prob.MIMIC@659499f1 iteration number, training time, fitness
0,2.42E-04,41,0,1.199260246,32,0,2.693809331,39.375,0,56.30760845,46
100,0.008760082,49,100,1.199635743,47,100,2.95349439,62.225,100,57.83264235,70
200,0.01043875,59,200,1.199768966,53,200,3.093845225,66.115,200,59.06302057,71
300,0.011195653,63,300,1.199916736,65,300,3.265926759,68.03,300,59.95992162,73
400,0.01197107,63,400,1.200038455,68,400,3.298316299,68.02,400,60.73282373,73
500,0.012696282,63,500,1.200168225,70,500,3.351232166,69.025,500,61.38357325,73
600,0.014024018,63,600,1.200322219,72,600,3.397882304,68.865,600,61.8719291,73
700,0.014872664,63,700,1.200457805,76,700,3.430547782,68.66,700,62.34682288,73
800,0.015853928,63,800,1.200587445,76,800,3.450729318,69.195,800,62.81955685,75
900,0.016563974,63,900,1.200715601,76,900,3.603847867,68.705,900,63.21453493,75
1000,0.017171017,63,1000,1.200869147,76,1000,3.637522328,68.97,1000,63.59555539,75
1100,0.017773326,63,1100,1.200948101,76,1100,3.655573578,68.44,1100,63.9417495,77
1200,0.018636933,63,1200,1.201025067,76,1200,3.675981372,69.275,1200,64.29232363,77
1300,0.019376183,63,1300,1.201105604,76,1300,3.704836929,68.27,1300,64.74841188,77
1400,0.020090408,63,1400,1.201180543,76,1400,3.746815585,66.655,1400,65.14869107,77
1500,0.025356933,63,1500,1.201269677,76,1500,3.773893105,68.22,1500,65.555244,77
1600,0.026391122,63,1600,1.201355745,76,1600,3.856240783,68.415,1600,65.98942933,77
1700,0.026778144,63,1700,1.201432326,76,1700,3.973688667,68.54,1700,66.37499361,77
1800,0.027020932,63,1800,1.201508297,76,1800,4.168440615,69.395,1800,66.79929061,77
1900,0.027317738,63,1900,1.201583221,76,1900,4.190981095,68.55,1900,67.17767094,77
2000,0.027687749,63,2000,1.201653381,76,2000,4.254837325,69.025,2000,67.57755665,77
2100,0.02804185,63,2100,1.201722379,76,2100,4.439962617,68.64,2100,68.30667581,77
2200,0.028389557,63,2200,1.201804821,76,2200,4.493541917,68.295,2200,69.83365061,77
2300,0.028928247,63,2300,1.201901567,76,2300,4.840207221,68.325,2300,71.28445478,77
2400,0.030542267,63,2400,1.20198413,76,2400,4.933061988,68.63,2400,73.59885861,77
2500,0.030909407,63,2500,1.202049947,76,2500,5.145834337,67.87,2500,74.95476398,77
2600,0.031246696,63,2600,1.20211274,76,2600,5.332535299,68.24,2600,76.46157236,77
2700,0.031697064,63,2700,1.202178559,76,2700,5.413508242,68.23,2700,78.37954831,77
2800,0.031877648,63,2800,1.202241249,76,2800,5.447279727,69.02,2800,79.25662966,77
2900,0.03315392,63,2900,1.202304977,76,2900,5.769894488,67.935,2900,80.79563603,77
3000,0.033409492,63,3000,1.202377171,78,3000,5.89606498,67.775,3000,82.23584543,77
3100,0.033614612,63,3100,1.202478945,78,3100,6.020642045,69.15,3100,83.01443941,77
3200,0.034028104,63,3200,1.202576999,78,3200,6.149770921,68.375,3200,83.98156723,77
3300,0.034421122,63,3300,1.203190216,78,3300,6.280603235,68.17,3300,84.66226338,77
3400,0.034662688,63,3400,1.20330733,78,3400,6.29628955,68.51,3400,85.22019619,77
3500,0.034856426,63,3500,1.203395936,78,3500,6.326734175,68.31,3500,85.71932925,77
3600,0.035128159,63,3600,1.203475066,78,3600,6.679666904,68.325,3600,86.22043485,77
3700,0.035869544,63,3700,1.203553347,78,3700,6.855537901,67.37,3700,86.80748855,77
3800,0.036072743,63,3800,1.20362703,78,3800,7.015338998,69.275,3800,87.40038199,77
3900,0.036239537,63,3900,1.203702865,78,3900,7.140414882,68.68,3900,88.06104207,77
4000,0.037016082,63,4000,1.203781999,78,4000,7.282413156,68.94,4000,88.60933805,77
4100,0.039437994,63,4100,1.203856065,78,4100,7.402962109,68.55,4100,89.03428614,77
4200,0.043744658,63,4200,1.203931505,78,4200,7.547854468,68.915,4200,89.49562733,77
4300,0.047677013,63,4300,1.204006136,78,4300,7.645846524,68.11,4300,89.92432804,77
4400,0.048161548,63,4400,1.204086308,78,4400,7.708512491,68.62,4400,90.36896773,77
4500,0.048435109,63,4500,1.204171455,78,4500,7.787113616,67.665,4500,90.86835916,77
4600,0.048716502,63,4600,1.204248089,78,4600,7.845209341,69.46,4600,91.2988801,77
4700,0.048929255,63,4700,1.20432752,78,4700,7.965538659,68.65,4700,92.09956623,77
4800,0.049247736,63,4800,1.204402103,78,4800,8.030469488,69.05,4800,92.9316633,77
4900,0.049639589,63,4900,1.204500079,78,4900,8.152997922,69.015,4900,93.64681429,77
5000,0.049796342,63,5000,1.204575646,78,5000,8.221720744,68.99,5000,94.31469451,77
5100,0.049929406,63,5100,1.204646685,78,5100,8.268027326,68.81,5100,94.8976737,77
5200,0.050064428,63,5200,1.204716757,78,5200,8.295143661,69.24,5200,95.80036229,77
5300,0.050201199,63,5300,1.204790203,78,5300,8.394841886,68.795,5300,96.63812292,77
