iteration number, MIMIC fitness,RHC  fitness, SA fitness, GA fitness
0,4,3,1,1.79
100,29,3,0,14
200,34,4,2,17.015
300,55,5,1,18
400,64,5,1,19.365
500,70,5,2,19.945
600,74,5,2,20
700,77,5,2,20.22
800,83,5,2,22
900,87,5,2,22
1000,88,5,2,23.71
1100,90,5,2,23.735
1200,94,5,3,24.015
1300,96,5,3,23.95
1400,100,5,3,24.02
1500,103,8,3,23.915
1600,104,8,5,23.97
1700,104,8,5,24.025
1800,106,8,5,24
1900,112,8,5,23.885
2000,113,8,7,23.9
2100,116,8,7,23.995
2200,116,8,7,23.895
2300,123,9,7,23.93
2400,123,9,7,24
2500,127,12,8,23.965
2600,129,12,8,24.04
2700,134,12,9,24.715
2800,136,12,12,24.91
2900,140,12,12,24.84
3000,140,12,13,24.95
3100,142,12,13,24.92
3200,149,12,13,24.98
3300,151,15,13,30.49
3400,151,15,13,31.93
3500,153,15,13,32.835
3600,156,15,16,37.91
3700,157,16,16,37.86
3800,158,18,16,37.86
3900,159,18,17,37.79
4000,165,18,17,37.955
4100,165,18,17,37.8
4200,167,18,17,37.995
4300,167,18,17,37.76
4400,167,18,19,37.86
4500,169,18,19,37.855
4600,176,20,20,37.73
4700,179,20,21,38
4800,183,20,21,37.95
4900,191,20,23,38
5000,195,20,24,38
5100,200,23,24,38.63
5200,200,23,24,39.15
5300,200,23,24,42.55
5400,200,23,24,42.685
5500,200,26,24,42.885
5600,200,26,24,42.715
5700,200,26,24,43.12
5800,200,27,24,47.505
5900,200,27,26,47.855
6000,200,29,26,48.35
6100,200,29,30,48.615
6200,200,29,30,48.71
6300,200,29,35,49.035
6400,200,29,35,50.66
6500,200,29,35,52.635
6600,200,29,35,52.675
6700,200,29,36,52.495
6800,200,31,37,52.925
6900,200,31,37,54.03
7000,200,33,37,54.345
7100,200,33,37,54.77
7200,200,33,40,54.525
7300,200,35,44,54.945
7400,200,35,44,54.69
7500,200,35,46,55.525
7600,200,35,46,54.96
7700,200,37,46,55.95
7800,200,38,46,55.4
7900,200,38,46,55.82
8000,200,38,46,55.61
8100,200,38,48,55.34
8200,200,38,49,56.395
8300,200,38,49,56.79
8400,200,39,49,58.625
8500,200,39,49,62.055
8600,200,39,50,63.82
8700,200,39,50,63.665
8800,200,39,50,63.525
8900,200,44,50,63.65
9000,200,47,50,63.335
9100,200,51,50,62.45
9200,200,51,51,63.26
9300,200,51,51,63.44
9400,200,51,51,62.135
9500,200,51,51,63.72
9600,200,51,51,63.495
9700,200,51,51,64.175
9800,200,53,51,64.495
9900,200,53,51,65.245
10000,200,53,51,66.59
10100,200,53,51,66.22
10200,200,53,52,66.75
10300,200,54,52,66.755
10400,200,54,52,66.185
10500,200,54,58,68.865
